Engine Power (cc),Mileage (km),Depreciation / year,Price,COE Remaining,Car Age
1997,72000,16380,102888,5,5
2356,42000,13960,125000,8,2
2362,245155,17860,42500,2,8
1998,165000,9950,33800,4,11
1799,,11820,36800,2,8
1339,118000,8710,13200,1,9
1997,20500,20570,188000,8,2
1399,,7300,25888,4,11
1995,125000,12430,46800,2,8
1395,50297,13900,110800,7,3
1591,64000,9530,20800,2,8
1598,,9400,39800,4,6
1595,,6860,22800,4,21
2362,121000,8580,85888,10,10
1997,98000,13130,45800,3,7
2982,,7960,39800,5,9
1597,143000,13500,57800,3,7
2664,,5600,28000,5,15
2500,140000,12250,32800,1,9
1998,172000,8180,70800,9,11
1339,177000,13030,18800,1,9
1390,102017,9440,34800,3,7
1599,,9100,26800,3,12
1591,19000,8540,83500,9,1
1496,47000,9660,81800,8,2
1598,9300,9170,75000,8,2
1994,100899,9690,35666,3,7
2979,39000,29120,276666,8,2
2982,,10310,102802,10,0
1596,97056,10950,57888,4,6
1596,31000,8930,68800,7,3
1799,95729,8370,41888,1,9
1987,81100,12630,40800,3,7
1591,98000,8970,26000,3,7
2995,66492,15440,58800,2,8
1995,102323,11870,59800,4,6
658,120000,5290,25888,5,10
2979,,24390,147000,5,5
1590,,10660,42900,4,6
1999,111523,,16800,1,9
1995,118993,13600,73800,5,5
2261,73,21620,224988,9,1
3798,17000,76950,578000,6,4
1798,119000,16150,60000,3,7
4806,98000,35060,159000,3,7
1461,52178,7310,53888,8,2
1995,84763,12970,73188,5,5
2497,,17010,57500,2,8
1968,,8530,83800,10,0
1597,,6110,22800,4,11
3498,5285,20110,236800,9,1
1998,,9490,98800,10,0
2362,131000,10550,52800,5,9
3456,103000,18410,96800,4,6
1995,123000,15080,42500,1,9
1796,,16110,56800,2,8
1496,15,8750,86800,10,0
1995,58500,16340,68900,4,6
1499,106318,9700,35800,3,7
1997,55800,16610,113000,6,4
2996,174000,13050,45800,1,9
4395,63000,34700,208800,5,5
1799,141000,7710,26300,4,11
3598,29000,31220,171800,5,5
1598,116133,9050,35888,3,7
1584,,7020,24838,4,11
1497,51502,10620,50800,5,5
2664,,11400,26800,3,12
2998,,7970,51800,7,3
1499,,8560,42800,5,10
1399,95280,5700,12888,2,8
1995,92000,11680,63800,5,5
1496,16000,8380,83800,10,0
1999,103000,11840,62800,4,6
1597,80000,22410,67800,3,7
1560,59150,10970,83800,7,3
1595,51800,15240,118811,7,3
1497,25728,8730,82800,9,1
1995,108000,16030,80000,4,6
1595,8000,15330,155800,9,1
2179,125000,16440,105000,6,4
1598,106000,11090,64800,5,5
1086,130000,7240,16800,2,8
1496,140000,7580,37800,5,10
13074,,13150,65800,5,10
2953,,10530,20800,2,8
1362,48000,9190,84800,9,1
2378,,10370,26200,2,8
1591,89083,8890,29777,3,7
1496,,11210,26888,2,8
1998,,7750,77500,10,10
6208,68000,35360,193888,4,6
1798,58000,13990,82800,5,5
1591,70000,6590,19800,3,7
2996,100,23880,286000,10,0
1999,37000,16840,180800,8,2
2998,110272,8000,54800,7,3
1597,152345,12380,44800,2,8
1591,112100,8550,20800,2,8
1798,31088,17440,129822,7,3
1498,134000,7760,38800,5,9
2995,56000,15130,84700,4,6
4806,67000,34980,218000,5,5
4497,,88890,538888,5,5
1496,16000,9390,82000,8,2
1598,77000,9540,47800,4,6
3456,138000,14860,57600,2,8
1591,67000,10330,53000,5,5
1991,60000,15830,112800,6,4
1591,104888,8110,30800,3,7
1984,72000,16580,102800,5,5
2457,159000,,20000,1,9
1994,95000,9120,29800,2,8
1390,80000,10310,49800,4,6
3598,67000,29110,230888,6,4
1496,,9660,48330,5,10
1496,,9400,94800,10,0
1999,29500,14690,141800,8,2
1598,155880,7560,24800,4,11
3824,135000,17870,178800,10,9
1799,112000,8960,44800,5,10
1496,,9580,25500,2,8
1584,190000,6040,26500,5,10
1390,32600,9180,74888,8,2
2198,,17010,143800,9,1
1499,48000,13730,118888,8,2
3153,,7140,20800,3,12
3605,97000,31610,138800,3,7
3598,61000,27540,193800,6,4
1497,150000,8700,19800,1,9
1598,,12600,28800,2,8
1598,,6800,24800,4,11
1995,125000,7460,71888,10,10
1999,39000,14930,157000,8,2
2359,57600,13180,99900,7,3
1598,,7460,21900,2,8
1496,,12550,13800,1,9
1796,82000,18130,78666,3,7
1497,,9050,19800,1,9
1495,78000,8430,47500,5,5
1591,,8840,21000,2,8
1796,,13210,28000,1,9
2996,108000,16410,106500,5,5
1390,,10380,46800,4,6
1998,45000,13800,74500,5,5
1796,140000,8780,87800,10,9
2496,128234,8780,31888,2,8
2261,124000,9110,30800,2,8
1997,69095,17750,101800,5,5
2979,84123,12940,129500,10,8
1598,101000,7830,34800,4,6
1998,42552,11430,98800,8,2
1490,,5780,8888,1,9
1598,7400,8140,74888,9,1
1999,,9870,39200,3,7
1984,146700,11970,29988,2,8
1995,96000,14490,80800,4,6
1390,,11670,93800,7,3
2362,125000,12230,48800,3,7
1799,,13880,52800,3,7
1390,76000,10710,61800,5,5
1796,90000,12010,32800,2,8
1994,,6420,17321,2,8
1998,170000,8910,27500,2,8
1598,73298,10490,68800,6,4
659,,5340,24800,5,10
2362,,10350,51800,5,9
1997,95000,11980,50000,3,7
2488,18,8790,81000,10,0
1461,,7270,14888,2,8
2977,,7960,39800,5,10
1395,12000,13890,139999,9,1
1984,,11940,54800,3,7
1984,138080,10940,25388,1,9
1796,104564,15280,69300,3,7
2359,109000,12810,69800,5,5
2953,,7160,35800,5,9
4308,43000,,305000,3,7
2953,,7000,66800,10,0
1498,,8760,35000,3,7
2986,,18130,14800,1,14
1794,,8850,41777,5,10
1496,32000,8580,73989,8,2
1461,,7310,49800,7,3
2359,91000,14000,55800,3,7
1991,57,20340,202888,9,1
2997,22000,29600,269800,8,2
2362,,13090,56800,4,6
2997,82585,,43800,1,9
1598,,9870,32000,2,8
4608,,25580,277988,10,0
1591,82151,7060,14800,1,9
2773,69547,14210,79321,4,6
2977,,10160,20800,2,8
2496,119600,8050,37000,3,7
1498,104275,8720,22800,2,8
2521,89086,15950,87000,4,6
1595,113300,9460,17800,1,9
2354,132000,13190,22800,1,9
2982,18,8570,84800,10,0
1496,131000,11070,21800,2,8
2362,140000,17520,41000,2,8
1995,120000,10870,40800,2,8
658,168449,5090,23500,5,10
2997,76000,19030,112800,4,6
3999,104000,22330,80000,2,8
2996,25815,31040,323800,8,2
1591,96000,7060,14800,2,8
1997,77520,11990,71800,5,5
1998,112000,11270,112800,10,9
1995,110500,,46800,4,6
1339,,9200,14777,1,9
1390,124000,9840,38000,3,7
1998,157000,22590,43000,1,9
1595,180000,5780,49988,9,21
4395,15000,39750,355800,7,3
1596,68000,7540,19800,2,8
4244,75000,23890,158000,5,5
1497,,6270,20988,4,11
1998,142000,9410,28000,2,8
2953,,7160,35800,5,9
1998,108000,9460,27800,2,8
1496,,,,3,7
2362,140000,8910,86000,10,10
2953,,13540,17800,2,8
1390,138000,10280,30288,2,8
1560,80000,10600,79800,7,3
1995,99000,12910,44500,2,8
1598,87000,9360,57777,5,5
2494,150000,8160,40800,5,9
1496,6500,9630,90800,9,1
1799,,7960,39800,5,10
1598,45000,9860,80800,8,2
1591,110000,11350,32800,3,7
1595,160000,7340,30000,4,11
1598,37884,8760,77800,8,2
1994,,9520,30988,2,8
4244,57027,56660,113800,1,9
2979,30500,31740,328000,8,2
1598,61860,14320,59800,3,7
1591,143000,8410,23888,3,7
1998,123100,38190,38999,1,9
1998,36000,11240,101000,8,2
2998,4000,18990,193000,9,1
1798,64325,12900,74800,5,5
1597,118140,14750,45888,2,8
1461,,7440,69800,10,0
3824,21000,19870,198800,10,10
1998,,8300,83000,10,9
1998,33800,12510,91888,7,3
1595,70000,12700,93800,7,3
1997,,9950,85300,9,11
1498,63000,9470,64777,7,3
3456,160000,16850,57000,3,7
2967,59000,16520,149800,7,3
1339,98000,7050,33800,5,10
1997,99000,16390,95000,5,5
1591,195000,10020,31800,3,7
1591,39000,8590,52800,6,4
2996,51700,30460,298800,8,2
1799,125000,11760,23800,1,9
1390,62400,9070,39800,4,6
1598,36749,13430,101999,7,3
1794,140000,8270,29500,4,11
1497,108000,10420,39800,3,7
4691,51300,43160,169000,3,7
1499,227000,13410,18800,1,9
1597,,8470,78800,10,0
1984,73000,12450,73800,5,5
1998,,12320,20500,1,9
2893,,24750,129800,4,6
2362,150000,8720,85800,10,10
1995,41000,14830,83000,5,5
2953,,8890,30800,4,6
1595,6000,15500,157800,9,1
1591,,10750,45800,4,6
1997,69500,12910,74800,5,5
2261,144232,14060,22500,1,9
2198,25000,17780,129998,8,2
1395,20000,13110,123800,8,2
1600,75000,8910,64800,7,3
2982,,13530,24800,2,8
1498,198001,5740,13300,1,9
1993,139000,7330,20800,2,8
2497,128000,15750,74800,4,6
1995,122000,15480,52800,2,8
2999,,7320,34500,5,10
1798,122312,11970,44900,3,7
2184,,14800,11800,1,14
1984,130000,13510,45888,3,7
2773,120000,14150,79800,4,6
1329,,9890,68800,7,3
1591,72982,11300,62800,5,5
2986,,6390,30800,5,15
1799,113000,9610,39888,3,7
1560,,8710,84802,10,0
1560,18,7650,75988,10,0
1395,31000,14380,113000,7,3
1496,,,97800,,
2664,,7130,31800,5,15
1798,189000,,21000,1,9
1997,88000,14940,89321,5,5
1796,136000,14420,37900,1,9
1598,123456,9770,29988,2,8
2148,,6450,30000,5,10
6749,7550,,880800,5,5
15681,,11570,115800,10,10
2953,,7360,36800,5,9
1499,107511,8410,22500,2,8
1598,35126,9120,78888,8,2
2362,61000,16170,88800,5,5
1496,110165,7360,36800,5,10
1796,86461,14970,64000,3,7
1799,,10070,15800,1,9
1796,110125,15080,44800,2,8
1496,,10160,100800,10,0
2996,108000,15870,83800,4,6
1390,66255,9490,66800,7,3
3498,115000,19420,143800,5,5
2198,13000,18820,158000,9,1
1497,18000,8060,64800,8,2
1591,75961,10660,56988,5,5
1499,134000,8000,17500,1,9
1995,103000,14200,29800,1,9
4163,,16990,64800,2,8
2497,95000,13570,34800,3,12
1339,71000,9140,33000,3,7
1998,,10000,44800,5,10
1584,128000,,17800,1,9
2982,32,9680,95800,10,0
1794,,8760,43800,5,9
2362,110000,10150,50800,5,10
1597,98000,14840,83800,5,5
1399,90000,6800,24800,4,11
1339,,8620,17800,1,9
2996,107000,17060,98000,4,6
2995,80000,17820,95800,4,6
7545,,17470,45800,3,12
1799,105000,,14800,1,9
2982,,8200,36777,5,10
12913,56330,33610,228800,7,3
658,138000,5560,27800,5,10
1242,130000,7990,12388,1,9
1987,,12330,36988,2,8
1591,139104,7540,22800,3,7
1496,35000,9320,86000,9,1
1999,130000,7680,76800,10,10
1794,103000,8560,42800,5,10
2664,,14520,22800,2,13
1796,92000,19660,93800,4,6
1495,,9280,19000,2,8
1591,10200,7480,78000,10,0
1995,51159,14770,87800,5,5
1598,82000,7730,29800,3,7
1797,132000,12460,44800,3,7
1799,138940,,13100,1,9
1390,108000,8740,43800,4,6
1598,,,14800,1,9
1597,32749,7380,60800,9,1
1598,55233,9950,76800,8,2
1798,75000,13010,61000,4,6
2967,,31850,265833,7,3
1799,110000,9150,45800,5,10
1498,20000,9110,77000,8,2
2979,39000,26690,168833,6,4
1598,189000,7230,20900,2,8
1796,25500,11000,68800,6,4
1368,97000,7970,28800,3,7
1591,113222,9750,26800,2,8
1799,169488,7670,38388,5,10
1991,19938,21480,206800,8,2
1598,79000,13840,66500,4,6
1998,,11820,54800,4,6
1590,,7560,37800,5,9
1796,135000,12000,60500,5,10
1390,150000,10000,32800,2,8
1598,25000,11180,69999,6,4
1198,54986,9460,62888,7,3
2982,,17670,16800,1,9
1496,35000,9650,86000,9,1
1998,115000,7510,65000,9,11
1339,116268,8000,39999,1,9
1591,54000,9120,69800,7,3
1308,,12490,35800,2,8
1796,,18550,76000,3,7
2979,,28070,225000,6,4
2979,76000,18460,85000,3,7
1388,82500,9450,26800,2,8
1499,12000,11330,20900,1,9
2488,101000,9690,47800,4,6
1598,75000,8480,35666,4,6
2982,,8080,79800,10,0
1997,,12300,56800,4,6
1390,,9950,59800,5,5
2953,155500,7930,42800,6,4
1591,170000,7970,31000,4,6
1596,110000,7090,16500,2,8
2953,,7650,48800,7,3
1995,122000,13640,59800,4,6
1591,38005,9480,60500,6,4
1591,130000,11520,12800,1,9
1242,86000,6370,31888,0,10
1598,98000,9630,52688,4,6
1395,27188,9940,92888,9,1
1197,44000,9720,72800,8,2
1991,30,17180,202888,10,0
2979,,33600,330000,8,2
1496,19,,99800,,
1796,64700,17310,111800,5,5
1591,8531,8820,85800,9,1
2996,121000,19440,133500,5,5
2996,77000,15900,101800,4,6
4196,108000,17360,78000,2,8
2500,,12060,42800,4,11
1591,126000,8850,25000,3,7
1984,138000,16610,83888,4,6
1984,99000,15590,89800,5,5
3436,36000,30590,147800,4,6
2996,108000,16560,96800,4,6
1597,,13880,47800,2,8
2362,120000,17920,59888,3,7
1595,21000,15500,154800,9,1
1586,,15920,17500,1,9
1591,44000,8750,69000,7,3
1799,130000,,14000,0,10
2488,50,8400,78888,10,0
1997,,15930,90500,5,5
1339,,9310,14500,1,9
3605,47700,29560,265800,6,4
1591,100338,10000,47800,5,5
1368,41000,7640,64800,8,2
1197,60000,9090,48800,5,5
1496,,7040,35200,5,10
1986,112074,11840,38888,3,7
2497,,15830,78800,4,6
1796,,14850,81800,5,5
2977,,7990,37800,5,10
1997,150000,8500,24300,1,9
2996,101000,16540,78800,2,8
2773,144258,15040,42800,1,9
2521,90000,13960,79099,4,6
1597,118000,7510,14800,1,9
1499,,7100,35500,5,10
2500,108000,13900,61800,3,7
2979,75000,25330,135000,4,6
1999,5300,17370,189800,10,0
1296,,6080,9000,2,25
2982,,8000,76800,10,0
2500,124000,15320,79800,4,6
2953,,9820,19800,2,8
3999,57000,24660,131800,4,6
1197,46688,9220,69888,8,2
1794,,11140,19800,1,9
1998,165000,9620,22000,1,9
1598,116584,7740,35888,5,10
1598,70,11440,61800,5,5
2694,69000,15210,66800,4,6
1799,,7760,38800,5,10
1798,66000,12870,59999,4,6
1799,82499,8140,29000,4,11
1969,36000,15580,155000,9,1
2179,71000,14020,54800,3,7
2480,55555,8600,81555,10,20
1591,50555,7720,22633,3,7
2982,48094,8820,66800,8,2
1995,133764,15930,92800,5,5
4163,44500,129240,148888,1,9
3982,65,47520,585988,10,0
1987,118898,12300,35800,2,8
2997,,,51800,1,9
1999,,12010,56800,3,7
1598,86000,12510,66800,4,6
3798,1900,86160,614900,6,4
2354,47517,12830,102800,7,3
1399,117420,7530,18900,2,8
1995,57863,12880,64800,4,6
2497,112000,16820,62800,3,7
1395,100,12380,138000,10,0
1598,58551,11300,73800,6,4
1598,,9260,52800,5,5
1779,25000,,83000,4,39
1595,37996,15650,145800,8,2
1596,64000,11010,79800,6,4
2996,18000,31730,316800,8,2
4799,51679,22220,101800,3,7
2362,158888,15450,59600,3,7
2953,,10850,20800,2,8
2362,,8490,79800,10,10
1591,,8520,16800,2,8
1598,,8970,37800,4,6
1598,71875,17880,113200,6,4
2979,69000,24100,136800,4,6
2977,,7160,35800,5,10
2362,103830,10770,39800,3,7
1991,11000,20010,218800,10,0
2982,,15630,21800,2,8
1461,,7790,77802,10,0
1997,115000,10830,29800,2,8
1461,,8960,33999,4,6
1798,70000,13850,67888,4,6
1984,67399,14890,107800,6,4
5000,85000,16750,103800,4,6
1794,139000,8580,42900,5,10
1999,125000,11240,35500,2,8
1991,30,,208888,,
2982,,8230,60800,8,2
2184,,9830,22800,3,12
1588,140000,12030,17800,2,26
1994,200000,7800,19500,2,8
1999,123000,18240,103000,5,5
11967,,31770,245000,8,2
1797,,12280,121321,10,0
3824,98000,16970,169800,10,10
2362,,18080,61388,3,7
1799,81000,12110,69800,5,5
1999,66000,14650,97888,6,4
2497,118000,16650,64800,3,7
1997,16091,19310,113800,5,5
1390,125000,9770,52800,4,6
1598,88000,11580,65800,5,5
1390,98000,11360,64800,5,5
2497,105000,14840,60321,3,7
1390,,9830,21321,1,9
2982,,11970,55800,5,5
2184,155000,7440,26800,4,16
1598,110532,10260,47800,4,6
1390,138500,9680,34888,3,7
1339,122000,9230,23000,2,8
2378,69600,14070,56800,4,6
1910,,5680,26800,5,10
1598,100000,13020,36800,2,8
1999,75000,12010,71800,5,5
1995,108000,11320,56800,4,6
1598,98339,8750,38800,4,6
2998,,10280,96800,10,0
1796,95000,15840,103800,5,5
1598,,6570,24800,3,7
1598,81000,13740,50800,3,7
2496,65188,12470,45800,3,7
2773,,14600,80800,4,6
6262,19000,99460,990000,6,4
2953,,9520,26800,3,7
1598,,8600,76888,9,1
2497,18375,8520,58800,7,3
1598,,6840,16999,2,8
998,,20200,29888,2,47
1497,92156,10400,59888,5,5
2494,5000,17520,189000,10,0
1591,105000,7740,11888,1,9
1390,,9930,64800,6,4
2493,78,15370,166988,10,0
1999,160000,9410,20800,1,9
1796,71400,17650,70000,3,7
1991,44011,18160,163800,8,2
4163,54556,20370,111888,4,6
1461,,10100,35490,4,6
1997,65000,16690,125800,6,4
1598,,10190,24800,2,8
1799,,11980,34500,2,8
1598,146222,8240,11000,1,9
1496,,6760,33800,5,10
1496,7700,7600,64800,9,1
658,,5760,28800,5,10
1591,110000,7860,18888,2,8
1598,42098,11970,43333,3,7
1498,179256,8240,26900,3,7
1796,,13680,65800,3,7
1998,,11190,96800,9,11
1498,,,13500,1,9
1995,,12050,37800,2,8
1595,22000,15160,138888,9,1
1597,91200,14730,81800,5,5
2996,72000,20940,151800,6,4
2996,9591,29890,329800,9,1
1598,,8020,21999,2,8
1308,,12980,118888,9,30
1390,88331,9910,51800,4,6
1598,,10040,46800,4,6
1997,40000,12530,68800,5,5
2521,,,25800,1,9
1339,123000,12020,16800,1,9
1598,77000,10320,68500,6,4
3696,53000,14560,85800,4,6
4163,85000,21750,95000,3,7
1598,106000,13000,32800,2,8
4691,86000,37830,145000,3,7
1998,82326,8970,44888,5,9
1390,101000,10370,59800,5,5
1999,77000,17130,109800,5,5
1498,120000,6560,32800,0,10
3933,,8060,41800,6,4
1591,93100,8770,27800,3,7
3993,7400,57620,650000,9,1
1591,,8170,21800,2,8
1498,,7400,16999,1,9
1994,,7430,19800,2,8
1497,140000,8560,18000,1,9
2979,4700,38960,462800,10,0
2996,52000,19000,147800,6,4
1368,76000,11030,33500,2,8
1798,19000,14030,123500,8,2
2982,,8530,83800,10,0
1498,104655,8890,41800,4,6
2953,,7760,38800,5,9
1496,42000,8890,80000,9,1
1799,120000,8430,40800,5,10
1598,41000,13590,92800,6,4
1499,130000,9260,19800,1,9
1496,106880,12880,17800,1,9
1248,,7160,46800,7,3
1984,88000,15780,93800,5,5
2979,113000,16970,70800,2,8
1198,13000,8340,71800,9,1
1984,145000,11410,45900,3,7
7545,,22830,89800,4,11
1591,124000,9340,20500,2,8
2494,60081,15360,129800,7,3
2499,150000,8950,19800,1,9
2457,,16750,29800,1,9
1984,140000,11540,40000,2,8
2977,,10440,43800,5,5
1796,,11800,33000,1,9
2488,,7830,77800,10,0
6498,12000,112860,655000,4,6
1499,115000,9670,25800,2,8
2497,40000,19000,40800,1,9
2359,92000,13100,91800,6,4
2979,54400,16540,158000,7,3
2457,140000,8250,80000,10,10
1998,118951,9170,23300,2,8
3993,4170,57740,508000,6,4
1598,,11370,54800,5,5
1197,20340,9870,93900,9,0
2354,161000,,16900,0,1
2499,111188,8350,33000,4,9
4806,57777,37110,258800,6,6
2359,130000,10470,39800,3,0
2982,,8350,78800,10,7
2488,12000,11010,104151,8,3
1595,,14600,93900,6,11
1591,128000,8550,15800,2,6
1995,83000,13750,66800,4,6
2500,40000,17550,160800,8,9
3605,109000,30050,159800,4,8
1591,168865,9140,20300,2,9
1997,130000,17020,96800,4,9
1399,,5300,8500,1,3
1598,8000,15240,143900,9,8
1999,58000,18860,186800,8,2
2497,,14460,39800,1,7
1595,96000,9350,34800,3,5
1598,70000,12180,88099,7,3
1997,88587,18870,105800,5,9
1390,54000,8840,69666,8,6
1598,115670,9470,46800,4,8
1796,128000,14280,54988,2,8
1497,81000,10200,25800,2,0
1560,,4540,21500,5,7
3498,72000,15430,76800,3,8
2998,753,35520,395000,10,9
1496,,9880,36800,3,10
1799,,12910,31800,2,1
1998,177000,,49000,1,9
1809,,27640,40888,2,21
2979,,15180,75500,2,11
3955,2000,18460,188000,9,7
2977,,6760,33800,5,2
1984,108000,13090,42800,2,8
2500,122000,18000,63888,3,8
1595,25000,16170,139800,8,7
2996,118000,15630,75800,2,11
1999,95090,14190,92800,5,7
1598,90943,8360,33800,3,9
1584,,7480,23988,4,3
1390,119897,10820,45600,3,4
2982,,9280,49838,6,7
1591,117425,5820,12888,1,8
2672,94361,17760,115900,6,9
1596,90000,8810,34800,3,9
1997,98000,15590,93800,5,7
1799,113581,11190,36800,2,7
658,115250,6490,11888,1,3
1339,116911,9390,36800,3,8
1591,94000,8680,30500,3,8
1390,98569,10310,43800,3,9
1598,34000,11010,81900,7,2
1591,129315,7760,17888,2,5
1390,52000,10680,26800,2,3
1598,151400,7650,76500,10,10
2982,,8900,69800,8,8
1584,145000,,8900,1,10
1598,,10560,62800,5,6
1984,17000,18440,148000,7,8
1498,,8810,24988,2,8
6208,46000,35530,210000,5,8
1984,17000,18240,162800,8,
1998,,10900,32800,2,4
3456,72000,17140,145900,6,9
1796,189000,12570,40000,1,7
2362,19,,160800,,8
2664,,6320,27800,5,6
659,87800,8670,15000,1,9
1591,81000,10300,49800,4,8
1799,,8360,41800,5,9
3696,,16720,67888,3,1
2521,,15460,103888,5,8
1496,25000,9190,79800,9,2
2773,55049,17910,115800,5,0
2497,120000,14430,46800,2,11
2982,,8190,78800,10,9
989,,6670,23800,4,9
1781,,8350,37800,5,4
1368,,8860,19800,2,8
1591,143052,6260,12800,1,20
2354,110000,11150,33800,2,8
1998,170000,6360,31800,5,7
2967,13500,28470,218000,6,4
1395,61223,11830,76800,6,10
1598,49500,10920,68800,6,10
2497,169000,,36800,0,2
1991,200000,11510,18000,2,7
1598,128941,7690,34888,5,9
1984,106000,11690,29800,2,7
1242,113000,5360,11900,1,9
1339,128383,8550,18500,1,8
1995,,12560,43500,2,1
4691,2900,44820,500000,9,5
1997,90000,8260,25800,2,9
2672,47659,17030,156800,8,7
2982,17000,8580,59800,7,10
1591,119000,10120,48800,5,7
2982,,8070,38800,5,9
1997,111907,10710,39500,3,6
1796,132000,8580,85800,10,8
1497,105000,9850,19800,1,9
1360,,8970,20800,2,9
1390,60000,9560,25800,2,2
1597,86000,15610,73000,4,8
1997,144000,11200,24800,1,14
1584,97707,7510,34800,0,8
1390,45732,11730,102800,8,10
3999,24500,30600,168000,4,8
1497,130000,10330,29000,2,6
2979,132000,17630,75800,3,7
